"its.01_F_filt.fastq.gz"	"its.02_F_filt.fastq.gz"	"its.03_F_filt.fastq.gz"	"its.04_F_filt.fastq.gz"	"its.05_F_filt.fastq.gz"	"its.06_F_filt.fastq.gz"	"its.07_F_filt.fastq.gz"	"its.08_F_filt.fastq.gz"	"its.09_F_filt.fastq.gz"	"its.10_F_filt.fastq.gz"	"its.11_F_filt.fastq.gz"	"its.12_F_filt.fastq.gz"	"its.13_F_filt.fastq.gz"	"its.14_F_filt.fastq.gz"	"its.15_F_filt.fastq.gz"	"its.16_F_filt.fastq.gz"	"its.17_F_filt.fastq.gz"	"its.18_F_filt.fastq.gz"	"its.19_F_filt.fastq.gz"	"its.20_F_filt.fastq.gz"	"its.21_F_filt.fastq.gz"	"its.22_F_filt.fastq.gz"	"its.23_F_filt.fastq.gz"	"its.24_F_filt.fastq.gz"	"its.25_F_filt.fastq.gz"	"its.26_F_filt.fastq.gz"	"its.27_F_filt.fastq.gz"	"its.28_F_filt.fastq.gz"	"its.29_F_filt.fastq.gz"	"its.30_F_filt.fastq.gz"	"its.31_F_filt.fastq.gz"	"its.32_F_filt.fastq.gz"	"its.33_F_filt.fastq.gz"	"its.34_F_filt.fastq.gz"	"its.35_F_filt.fastq.gz"	"its.36_F_filt.fastq.gz"	"its.37_F_filt.fastq.gz"	"its.38_F_filt.fastq.gz"	"its.39_F_filt.fastq.gz"	"its.40_F_filt.fastq.gz"	"its.41_F_filt.fastq.gz"	"its.42_F_filt.fastq.gz"	"its.43_F_filt.fastq.gz"	"its.44_F_filt.fastq.gz"	"its.45_F_filt.fastq.gz"	"its.46_F_filt.fastq.gz"	"its.47_F_filt.fastq.gz"	"its.48_F_filt.fastq.gz"
"ASV1"	1928	275	505	512	344	886	481	335	406	223	471	1838	366	217	423	212	9176	20845	12900	27173	10276	9378	4070	11795	2686	2252	1573	1238	44613	10411	3370	7757	18	33	0	79	153	1944	45	171	85	87	22	54	41	61	19	33
"ASV2"	630	561	593	680	976	1311	837	2593	309	467	313	463	227	245	198	443	51	19002	31	444	0	109	487	215	94	94	493	33	0	79	74	71	14534	31287	2303	3788	779	5981	9107	54	19042	17522	5631	4984	3108	7698	5922	4765
"ASV3"	51	4	145	18	22	20	28	93	130	10	429	0	57	7	14	25	0	0	0	0	0	5	22	0	39	6	22	36	0	0	62	4	5023	27343	12864	5179	71686	17415	18105	104	3	0	2208	6	1315	25	27	658
"ASV4"	124	84	328	138	136	589	171	171	145	133	329	114	168	124	352	151	21194	2168	30414	11291	666	6656	2706	368	9604	402	526	13738	662	21287	3692	18826	0	13	0	0	0	161	2	28	65	11	12	7	0	0	9	0
"ASV5"	355	42	115	58	907	126	102	1112	94	536	102	174	275	136	32	32	115	0	0	65	0	0	159	489	201	201	8	30	0	14	12	9	482	492	11	9983	378	24	14	929	1620	1664	29140	46502	22427	3813	1229	4367
"ASV6"	7709	15065	9213	11930	12984	26316	12364	18863	26	3	9	10	0	0	0	10	281	106	219	313	19	259	1018	535	0	0	7	0	0	7	0	0	0	0	0	0	0	0	0	0	409	476	276	213	255	227	121	72
"ASV7"	74	200	120	134	74	357	308	206	1827	4779	3281	3471	2903	2111	3539	1535	16	0	94	121	0	0	86	0	15326	361	1027	1169	6496	776	961	34819	26	13	0	0	0	272	21	552	0	0	0	0	0	5	0	31
"ASV8"	214	67	161	188	77	426	132	448	21	8	0	12	6	26	42	5	24	5	0	64	0	14	48	80	75	7	8	3	0	0	187	5	2235	16626	487	2127	186	324	6231	2	5851	6231	12304	1703	3866	10763	2734	10400
"ASV9"	15934	1050	4009	1978	475	178	970	726	1620	751	949	1034	1935	2264	669	852	1157	181	310	982	15	135	9857	3857	3089	1285	4488	2223	146	135	1545	189	0	5	10	99	12	31	0	610	1702	2138	33	1174	0	43	110	284
"ASV10"	707	338	725	464	351	1160	710	862	0	0	0	0	0	0	0	0	97	10	53	85	0	15	91	148	0	0	0	0	0	0	0	0	0	0	0	2296	0	0	0	0	10365	10112	9609	2661	4649	7607	4133	10973
"ASV11"	2798	2024	2219	2678	2061	3964	3534	4297	3211	6824	8044	6339	4647	3418	3254	2378	106	38	81	0	0	0	338	0	2561	267	414	523	9	338	166	0	0	0	0	0	0	0	0	0	54	117	0	0	0	0	0	0
"ASV12"	82	0	0	0	0	0	0	0	373	39	51	290	108	55	316	252	0	0	81	0	0	0	0	0	1100	873	652	365	15	24	13643	115	4927	1685	4114	12964	451	2839	19044	311	275	506	0	241	197	0	116	199
"ASV13"	2970	274	341	287	196	56	1475	94	160	0	91	0	113	0	50	50	617	9	34	265	0	67	1793	643	231	280	9500	44	0	0	0	0	0	110	1372	0	0	277	727	88	7515	8757	4590	2673	3507	6425	4828	5285
"ASV14"	84	28	131	42	92	119	197	100	11	0	10	10	29	0	0	0	1065	93	118	1388	382	1809	204	1285	926	559	251	128	0	5284	555	35033	0	0	32	0	14	31	10	10	0	9	0	10	0	15	0	0
"ASV15"	432	431	389	476	444	806	589	740	1355	2429	2640	3046	1858	1707	0	1187	0	2529	12	0	0	0	337	0	642	251	514	324	17	0	510	0	0	278	175	56	254	0	0	0	9027	8787	861	596	174	1385	211	0
"ASV16"	127	631	651	451	256	674	469	473	263	459	391	254	250	300	189	226	1476	1484	2418	1032	8461	12093	5160	2639	59	62	77	59	13	69	484	8	5	0	0	0	0	20	2	7	48	43	0	6	0	6	0	0
"ASV18"	0	0	0	0	0	0	0	0	2258	4203	5536	6892	3405	2368	1417	2183	0	0	0	0	0	0	0	67	2297	697	932	867	24	123	1146	43	0	42	14	0	0	70	19	545	0	0	0	0	0	0	0	0
"ASV19"	675	4039	4871	3829	2403	4815	4757	5310	375	399	613	98	363	756	669	323	0	0	71	0	0	176	0	0	9	0	61	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV20"	43	129	146	104	116	360	196	254	1523	2543	2815	3239	1818	1386	1921	1386	0	0	8	0	39	0	0	0	1301	198	1089	404	0	925	11542	0	0	51	0	0	0	68	78	342	0	0	0	0	0	0	0	0
"ASV21"	54	105	142	114	72	157	167	139	2522	5399	4636	3469	3901	2168	1961	1683	0	30	10	9	4	6	0	11	836	439	2365	398	375	129	190	287	0	0	0	15	0	151	0	456	4	0	0	0	0	0	0	0
"ASV22"	126	148	323	293	341	438	285	361	37	0	0	0	10	0	0	31	457	242	226	234	3623	562	2141	1361	1557	2181	4953	169	540	6923	707	596	9	8	0	13	20	38	0	30	4	14	9	0	0	0	0	0
"ASV23"	224	635	524	538	344	937	636	1063	1075	2128	2164	2260	2103	1553	2179	1126	19	884	36	256	82	105	149	89	273	250	498	92	0	61	205	0	0	0	0	33	0	66	0	101	2409	2127	0	0	0	0	0	0
