ASVid	taxonomy
4bae0ab2637d7709616476c5311975b4	"Cladosporium_sphaerospermum|DQ780343|SH4358594.09FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_sphaerospermum"
4322befce0b15914a022f8227bba0bd0	"Plectosphaerella_ramiseptata|LR026832|SH3177511.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Plectosphaerella;s__Plectosphaerella_ramiseptata"
b560eb1564ee2376e114397836e766ee	"Colletotrichum_coccodes|HM171679|SH0899393.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Glomerellaceae;g__Colletotrichum;s__Colletotrichum_coccodes"
4807055b51e7e5d9639d7e1650af8c0e	"Acremonium_sclerotigenum|AJ621772|SH1291669.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_sclerotigenum"
a66058207eaf39e7af80f5fc6683b51c	"Berkeleyomyces_rouxiae|MF952412|SH0917704.09FU|refs|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Ceratocystidaceae;g__Berkeleyomyces;s__Berkeleyomyces_rouxiae"
f4bd03f8cd3044a5ec099d01947b2425	"GS11_sp|UDB02375502|SH0959961.09FU|reps|k__Fungi;p__Rozellomycota;c__Rozellomycotina_cls_Incertae_sedis;o__GS11;f__GS11_fam_Incertae_sedis;g__GS11_gen_Incertae_sedis;s__GS11_sp"
7fa39fff8be43810f8677988f7ee0f08	"Verticillium_dahliae|EF377335|SH1322720.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Verticillium;s__Verticillium_dahliae"
a8c155075f6c8a65219ff7bed8bad58f	"Pseudopyrenochaeta_lycopersici|AY649587|SH1298884.09FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pseudopyrenochaetaceae;g__Pseudopyrenochaeta;s__Pseudopyrenochaeta_lycopersici"
2d3c9ef9d8924c3c6b2f42d2f25d24d7	"Lobulomycetales_sp|UDB03108022|SH1178563.09FU|reps|k__Fungi;p__Chytridiomycota;c__Lobulomycetes;o__Lobulomycetales;f__Lobulomycetales_fam_Incertae_sedis;g__Lobulomycetales_gen_Incertae_sedis;s__Lobulomycetales_sp"
a0e170be2b547d759e8c14e25a61a44d	"Pseudopyrenochaeta_terrestris|LT623228|SH0898067.09FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pseudopyrenochaetaceae;g__Pseudopyrenochaeta;s__Pseudopyrenochaeta_terrestris"
079240a1ba113328cf31bd0c39964cfb	"Podila_epicladia|HQ630319|SH2190302.09FU|refs|k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Podila;s__Podila_epicladia"
253f437cb1cf629fd6c53a691fc895e2	"Olpidium_sp|UDB0365961|SH1223275.09FU|reps|k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiaceae;g__Olpidium;s__Olpidium_sp"
647015009bc9e4af1ac3b36c0d8ca594	"Olpidium_sp|UDB0365961|SH1223275.09FU|reps|k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Olpidiaceae;g__Olpidium;s__Olpidium_sp"
5d6d6c05afdbb3cf368a2f0a0328a077	"Cladosporium_halotolerans|DQ780364|SH2100630.09FU|refs|k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_halotolerans"
a2878a4e252dfa8b1162300ca2040ca5	"Nectriaceae_sp|KX788197|SH0994942.09FU|reps|k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Nectriaceae;g__Nectriaceae_gen_Incertae_sedis;s__Nectriaceae_sp"
