"ASVid"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"species"
"1"	"ASV1"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Cladosporium"	"Cladosporium_sphaerospermum"
"2"	"ASV2"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Plectosphaerella"	"Plectosphaerella_ramiseptata"
"3"	"ASV3"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Glomerellaceae"	"Colletotrichum"	"Colletotrichum_coccodes"
"4"	"ASV4"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Hypocreales_fam_Incertae_sedis"	"Acremonium"	"Acremonium_sclerotigenum"
"5"	"ASV5"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	"Ceratocystidaceae"	"Berkeleyomyces"	"Berkeleyomyces_rouxiae"
"6"	"ASV6"	"Fungi"	"Rozellomycota"	"Rozellomycotina_cls_Incertae_sedis"	"GS11"	"GS11_fam_Incertae_sedis"	"GS11_gen_Incertae_sedis"	"GS11_sp"
"7"	"ASV7"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Verticillium"	"Verticillium_dahliae"
"8"	"ASV8"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Pseudopyrenochaetaceae"	"Pseudopyrenochaeta"	"Pseudopyrenochaeta_lycopersici"
"9"	"ASV9"	"Fungi"	"Chytridiomycota"	"Lobulomycetes"	"Lobulomycetales"	"Lobulomycetales_fam_Incertae_sedis"	"Lobulomycetales_gen_Incertae_sedis"	"Lobulomycetales_sp"
"10"	"ASV10"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Pseudopyrenochaetaceae"	"Pseudopyrenochaeta"	"Pseudopyrenochaeta_terrestris"
"11"	"ASV11"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Podila"	"Podila_epicladia"
"12"	"ASV12"	"Fungi"	"Olpidiomycota"	"Olpidiomycetes"	"Olpidiales"	"Olpidiaceae"	"Olpidium"	"Olpidium_sp"
"13"	"ASV13"	"Fungi"	"Olpidiomycota"	"Olpidiomycetes"	"Olpidiales"	"Olpidiaceae"	"Olpidium"	"Olpidium_sp"
"14"	"ASV14"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Cladosporium"	"Cladosporium_halotolerans"
"15"	"ASV15"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Nectriaceae_gen_Incertae_sedis"	"Nectriaceae_sp"
"16"	"ASV16"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Bionectriaceae"	"Geosmithia"	"Geosmithia_sp"
"17"	"ASV18"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Brunneomyces"	"Brunneomyces_brunnescens"
"18"	"ASV19"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Chaetomiaceae"	"Botryotrichum"	"Botryotrichum_atrogriseum"
"19"	"ASV20"	"Fungi"	"Fungi_phy_Incertae_sedis"	"Fungi_cls_Incertae_sedis"	"Fungi_ord_Incertae_sedis"	"Fungi_fam_Incertae_sedis"	"Fungi_gen_Incertae_sedis"	"Fungi_sp"
"20"	"ASV21"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Eurotiales"	"Aspergillaceae"	"Aspergillus"	"Aspergillus_versicolor"
"21"	"ASV22"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Eurotiales"	"Aspergillaceae"	"Penicillium"	"Penicillium_sp"
"22"	"ASV23"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Gibellulopsis"	"Gibellulopsis_nigrescens"
"23"	"ASV24"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Acrostalagmus"	"Acrostalagmus_luteoalbus"
"24"	"ASV25"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Chaetomiaceae"	"Botryotrichum"	"Botryotrichum_atrogriseum"
"25"	"ASV26"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Plectosphaerella"	"Plectosphaerella_ramiseptata"
"26"	"ASV27"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Brunneomyces"	"Brunneomyces_brunnescens"
"27"	"ASV28"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Capnodiales"	"Cladosporiaceae"	"Cladosporium"	"Cladosporium_sphaerospermum"
"28"	"ASV29"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Linnemannia"	"Linnemannia_gamsii"
"29"	"ASV30"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Filobasidiales"	"Piskurozymaceae"	"Solicoccozyma"	"Solicoccozyma_aeria"
"30"	"ASV31"	"Fungi"	"Ascomycota"	"Pezizomycetes"	"Pezizales"	"Pyronemataceae"	"Scutellinia"	"Scutellinia_sp"
"31"	"ASV32"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	"Trimorphomycetaceae"	"Carlosrosaea"	"Carlosrosaea_foliicola"
"32"	"ASV33"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Bionectriaceae"	"Bionectriaceae_gen_Incertae_sedis"	"Bionectriaceae_sp"
"33"	"ASV34"	"Fungi"	"Chytridiomycota"	"Chytridiomycetes"	"Chytridiomycetes_ord_Incertae_sedis"	"Chytridiomycetes_fam_Incertae_sedis"	"Chytridiomycetes_gen_Incertae_sedis"	"Chytridiomycetes_sp"
"34"	"ASV35"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_sp"
"35"	"ASV36"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Trichosporonales"	"Trichosporonaceae"	"Apiotrichum"	"Apiotrichum_dulcitum"
"36"	"ASV37"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Hypocreales_fam_Incertae_sedis"	"Acremonium"	"Acremonium_sclerotigenum"
"37"	"ASV38"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Chordomyces"	"Chordomyces_antarcticus"
"38"	"ASV39"	"Fungi"	"Fungi_phy_Incertae_sedis"	"Fungi_cls_Incertae_sedis"	"Fungi_ord_Incertae_sedis"	"Fungi_fam_Incertae_sedis"	"Fungi_gen_Incertae_sedis"	"Fungi_sp"
"39"	"ASV40"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_sp"
"40"	"ASV41"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Sordariales_fam_Incertae_sedis"	"Sordariales_gen_Incertae_sedis"	"Sordariales_sp"
"41"	"ASV42"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Onygenales"	"Arthrodermataceae"	"Arthroderma"	"Arthroderma_chiloniense"
"42"	"ASV43"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariomycetes_ord_Incertae_sedis"	"Sordariomycetes_fam_Incertae_sedis"	"Sordariomycetes_gen_Incertae_sedis"	"Sordariomycetes_sp"
"43"	"ASV44"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariomycetes_ord_Incertae_sedis"	"Sordariomycetes_fam_Incertae_sedis"	"Sordariomycetes_gen_Incertae_sedis"	"Sordariomycetes_sp"
"44"	"ASV45"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Neocosmospora"	"Neocosmospora_rubicola"
"45"	"ASV46"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Fusarium"	"Fusarium_variasi"
"46"	"ASV47"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Linnemannia"	"Linnemannia_gamsii"
"47"	"ASV49"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Eurotiales"	"Aspergillaceae"	"Paecilomyces"	"Paecilomyces_sp"
"48"	"ASV50"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Sodiomyces"	"Sodiomyces_alcalophilus"
"49"	"ASV51"	"Fungi"	"Ascomycota"	"Dothideomycetes"	"Pleosporales"	"Pseudopyrenochaetaceae"	"Pseudopyrenochaeta"	"Pseudopyrenochaeta_terrestris"
"50"	"ASV52"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Plectosphaerellaceae_gen_Incertae_sedis"	"Plectosphaerellaceae_sp"
"51"	"ASV53"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariomycetes_ord_Incertae_sedis"	"Sordariomycetes_fam_Incertae_sedis"	"Sordariomycetes_gen_Incertae_sedis"	"Sordariomycetes_sp"
"52"	"ASV54"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Cephalothecaceae"	"Phialemonium"	"Phialemonium_inflatum"
"53"	"ASV55"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Nectriaceae_gen_Incertae_sedis"	"Nectriaceae_sp"
"54"	"ASV56"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Onygenales"	"Onygenaceae"	"Chrysosporium"	"Chrysosporium_lobatum"
"55"	"ASV57"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Nectriaceae"	"Dactylonectria"	"Dactylonectria_macrodidyma"
"56"	"ASV58"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Sordariales"	"Chaetomiaceae"	"Humicola"	"Humicola_nigrescens"
"57"	"ASV59"	"Fungi"	"Ascomycota"	"Saccharomycetes"	"Saccharomycetales"	"Saccharomycetales_fam_Incertae_sedis"	"Candida"	"Candida_sp"
"58"	"ASV60"	"Fungi"	"Ascomycota"	"Saccharomycetes"	"Saccharomycetales"	"Saccharomycetales_fam_Incertae_sedis"	"Candida"	"Candida_sp"
"59"	"ASV61"	"Fungi"	"Rozellomycota"	"Rozellomycotina_cls_Incertae_sedis"	"GS05"	"GS05_fam_Incertae_sedis"	"GS05_gen_Incertae_sedis"	"GS05_sp"
"60"	"ASV62"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Bionectriaceae"	"Geosmithia"	"Geosmithia_sp"
"61"	"ASV64"	"Fungi"	"Chytridiomycota"	"Rhizophydiomycetes"	"Rhizophydiomycetes_ord_Incertae_sedis"	"Rhizophydiomycetes_fam_Incertae_sedis"	"Rhizophydiomycetes_gen_Incertae_sedis"	"Rhizophydiomycetes_sp"
"62"	"ASV65"	"Fungi"	"Chytridiomycota"	"Chytridiomycetes"	"Chytridiales"	"Chytridiales_fam_Incertae_sedis"	"Chytridiales_gen_Incertae_sedis"	"Chytridiales_sp"
"63"	"ASV66"	"Fungi"	"Basidiomycota"	"Tremellomycetes"	"Tremellales"	"Tremellales_fam_Incertae_sedis"	"Tremellales_gen_Incertae_sedis"	"Tremellales_sp"
"64"	"ASV67"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Hypocreales_fam_Incertae_sedis"	"Emericellopsis"	"Emericellopsis_glabra"
"65"	"ASV68"	"Fungi"	"Mortierellomycota"	"Mortierellomycetes"	"Mortierellales"	"Mortierellaceae"	"Mortierella"	"Mortierella_sp"
"66"	"ASV69"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Plectosphaerella"	"Plectosphaerella_niemeijerarum"
"67"	"ASV70"	"Fungi"	"Basidiomycota"	"Wallemiomycetes"	"Wallemiales"	"Wallemiaceae"	"Wallemia"	"Wallemia_sebi"
"68"	"ASV71"	"Fungi"	"Ascomycota"	"Eurotiomycetes"	"Chaetothyriales"	"Herpotrichiellaceae"	"Phialophora"	"Phialophora_intermedia"
"69"	"ASV73"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Hypocreales"	"Stachybotryaceae"	"Stachybotrys"	"Stachybotrys_chartarum"
"70"	"ASV74"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Microascales"	"Microascaceae"	"Gamsia"	"Gamsia_simplex"
"71"	"ASV75"	"Fungi"	"Ascomycota"	"Sordariomycetes"	"Glomerellales"	"Plectosphaerellaceae"	"Plectosphaerella"	"Plectosphaerella_slobbergiarum"
