ID	Sample	Plant condition	Compartment	Soil origin	Replicate	CompSoil	CompSoilDis
its.01_F_filt.fastq.gz	b1	Healthy	rhizosphere	Soil A	Rep 1	RhizoSoilA	RhizoSoilAH
its.02_F_filt.fastq.gz	b2	Healthy	rhizosphere	Soil A	Rep 2	RhizoSoilA	RhizoSoilAH
its.03_F_filt.fastq.gz	b3	Healthy	rhizosphere	Soil A	Rep 3	RhizoSoilA	RhizoSoilAH
its.04_F_filt.fastq.gz	b4	Healthy	rhizosphere	Soil A	Rep 4	RhizoSoilA	RhizoSoilAH
its.05_F_filt.fastq.gz	m1	Diseased	rhizosphere	Soil A	Rep 1	RhizoSoilA	RhizoSoilAD
its.06_F_filt.fastq.gz	m2	Diseased	rhizosphere	Soil A	Rep 2	RhizoSoilA	RhizoSoilAD
its.07_F_filt.fastq.gz	m3	Diseased	rhizosphere	Soil A	Rep 3	RhizoSoilA	RhizoSoilAD
its.08_F_filt.fastq.gz	m4	Diseased	rhizosphere	Soil A	Rep 4	RhizoSoilA	RhizoSoilAD
its.09_F_filt.fastq.gz	r1	Healthy	rhizosphere	Soil B	Rep 1	RhizoSoilB	RhizoSoilBH
its.10_F_filt.fastq.gz	r2	Healthy	rhizosphere	Soil B	Rep 2	RhizoSoilB	RhizoSoilBH
its.11_F_filt.fastq.gz	r3	Healthy	rhizosphere	Soil B	Rep 3	RhizoSoilB	RhizoSoilBH
its.12_F_filt.fastq.gz	r4	Healthy	rhizosphere	Soil B	Rep 4	RhizoSoilB	RhizoSoilBH
its.13_F_filt.fastq.gz	t1	Diseased	rhizosphere	Soil B	Rep 1	RhizoSoilB	RhizoSoilBD
its.14_F_filt.fastq.gz	t2	Diseased	rhizosphere	Soil B	Rep 2	RhizoSoilB	RhizoSoilBD
its.15_F_filt.fastq.gz	t3	Diseased	rhizosphere	Soil B	Rep 3	RhizoSoilB	RhizoSoilBD
its.16_F_filt.fastq.gz	t4	Diseased	rhizosphere	Soil B	Rep 4	RhizoSoilB	RhizoSoilBD
its.17_F_filt.fastq.gz	p1	Diseased	phyllosphere	Soil A	Rep 1	PhylloSoilA	PhylloSoilAD
its.18_F_filt.fastq.gz	p2	Diseased	phyllosphere	Soil A	Rep 2	PhylloSoilA	PhylloSoilAD
its.19_F_filt.fastq.gz	p3	Diseased	phyllosphere	Soil A	Rep 3	PhylloSoilA	PhylloSoilAD
its.20_F_filt.fastq.gz	p4	Diseased	phyllosphere	Soil A	Rep 4	PhylloSoilA	PhylloSoilAD
its.21_F_filt.fastq.gz	k1	Healthy	phyllosphere	Soil A	Rep 1	PhylloSoilA	PhylloSoilAH
its.22_F_filt.fastq.gz	k2	Healthy	phyllosphere	Soil A	Rep 2	PhylloSoilA	PhylloSoilAH
its.23_F_filt.fastq.gz	k3	Healthy	phyllosphere	Soil A	Rep 3	PhylloSoilA	PhylloSoilAH
its.24_F_filt.fastq.gz	k4	Healthy	phyllosphere	Soil A	Rep 4	PhylloSoilA	PhylloSoilAH
its.25_F_filt.fastq.gz	s1	Healthy	phyllosphere	Soil B	Rep 1	PhylloSoilB	PhylloSoilBH
its.26_F_filt.fastq.gz	s2	Healthy	phyllosphere	Soil B	Rep 2	PhylloSoilB	PhylloSoilBH
its.27_F_filt.fastq.gz	s3	Healthy	phyllosphere	Soil B	Rep 3	PhylloSoilB	PhylloSoilBH
its.28_F_filt.fastq.gz	s4	Healthy	phyllosphere	Soil B	Rep 4	PhylloSoilB	PhylloSoilBH
its.29_F_filt.fastq.gz	v1	Diseased	phyllosphere	Soil B	Rep 1	PhylloSoilB	PhylloSoilBD
its.30_F_filt.fastq.gz	v2	Diseased	phyllosphere	Soil B	Rep 2	PhylloSoilB	PhylloSoilBD
its.31_F_filt.fastq.gz	v3	Diseased	phyllosphere	Soil B	Rep 3	PhylloSoilB	PhylloSoilBD
its.32_F_filt.fastq.gz	v4	Diseased	phyllosphere	Soil B	Rep 4	PhylloSoilB	PhylloSoilBD
its.33_F_filt.fastq.gz	f1	Healthy	endosphere	Soil B	Rep 1	RootsSoilB	RootsSoilBH
its.34_F_filt.fastq.gz	f2	Healthy	endosphere	Soil B	Rep 2	RootsSoilB	RootsSoilBH
its.35_F_filt.fastq.gz	f3	Healthy	endosphere	Soil B	Rep 3	RootsSoilB	RootsSoilBH
its.36_F_filt.fastq.gz	f4	Healthy	endosphere	Soil B	Rep 4	RootsSoilB	RootsSoilBH
its.37_F_filt.fastq.gz	d1	Diseased	endosphere	Soil B	Rep 1	RootsSoilB	RootsSoilBD
its.38_F_filt.fastq.gz	d2	Diseased	endosphere	Soil B	Rep 2	RootsSoilB	RootsSoilBD
its.39_F_filt.fastq.gz	d3	Diseased	endosphere	Soil B	Rep 3	RootsSoilB	RootsSoilBD
its.40_F_filt.fastq.gz	d4	Diseased	endosphere	Soil B	Rep 4	RootsSoilB	RootsSoilBD
its.41_F_filt.fastq.gz	x1	Healthy	endosphere	Soil A	Rep 1	RootsSoilA	RootsSoilAH
its.42_F_filt.fastq.gz	x2	Healthy	endosphere	Soil A	Rep 2	RootsSoilA	RootsSoilAH
its.43_F_filt.fastq.gz	x3	Healthy	endosphere	Soil A	Rep 3	RootsSoilA	RootsSoilAH
its.44_F_filt.fastq.gz	x4	Healthy	endosphere	Soil A	Rep 4	RootsSoilA	RootsSoilAH
its.45_F_filt.fastq.gz	y1	Diseased	endosphere	Soil A	Rep 1	RootsSoilA	RootsSoilAD
its.46_F_filt.fastq.gz	y2	Diseased	endosphere	Soil A	Rep 2	RootsSoilA	RootsSoilAD
its.47_F_filt.fastq.gz	y3	Diseased	endosphere	Soil A	Rep 3	RootsSoilA	RootsSoilAD
its.48_F_filt.fastq.gz	y4	Diseased	endosphere	Soil A	Rep 4	RootsSoilA	RootsSoilAD
